,Neighbourhoods,Number of Collisions,Median Income,Population,City
0,Montréal,155.0,50227.0,1704694.0,Montreal
1,Montréal-Est,2.0,50318.0,3850.0,Montreal
2,Côte-Saint-Luc,2.0,58935.0,32448.0,Montreal
3,Dorval,3.0,64689.0,18980.0,Montreal
4,Sainte-Anne-de-Bellevue,2.0,67200.0,4958.0,Montreal
5,Dollard-Des Ormeaux,2.0,78981.0,48899.0,Montreal
6,Pointe-Claire,4.0,80242.0,31380.0,Montreal
7,Westmount,2.0,100153.0,20312.0,Montreal
8,Mont-Royal,1.0,109540.0,20276.0,Montreal
9,Montréal-Ouest,2.0,115029.0,5050.0,Montreal
10,Kirkland,2.0,115381.0,20151.0,Montreal
11,Hampstead,2.0,122496.0,6973.0,Montreal
